2010-06-19 12:22:54,40.751800,-74.008000,I'm at Pier 66 (26th St. and 12th Avenue, New York). http://4sq.com/7F1Jg3
2010-06-19 13:21:39,40.713816,-74.014086,I'm at World Financial Center (WFC) (220 Vesey St, New York). http://4sq.com/4t7Vgq
2010-06-19 14:00:28,40.714070,-74.016352,I'm at Starbucks (250 Vesey St, btw North End Ave & West St, New York). http://4sq.com/8RQXkN
2010-06-19 15:16:10,40.759980,-73.999230,I'm at New York Waterway (39th and 12th, New York). http://4sq.com/b3sNeG
2010-06-19 15:40:51,40.777210,-73.990173,I'm at Westside Bike Path -- Riverside Park Entrance/Exit (Henry Hudson Parkway, New York). http://4sq.com/1RyXxs
2010-06-20 17:07:05,40.794302,-73.971788,I'm at Citibank 96th Street. http://4sq.com/8e5Ge1
2010-06-20 17:19:18,40.795529,-73.971016,I'm at Cafe Viva Gourmet Pizza (2578 Broadway, 97th street, New York). http://4sq.com/5UPLnu
2010-06-20 20:42:53,40.794670,-73.966654,I'm at Whole Foods (808 Columbus Ave, W 97th St, New York) w/ 5 others. http://4sq.com/3ney5Y
2010-06-20 21:42:11,40.795879,-73.971489,I'm at Duane Reade (2589 Broadway, at 97th St, New York). http://4sq.com/4zbM5N
2010-06-21 19:09:22,40.771117,-73.969016,I'm at Central Park - East Green (72nd Street, 5th Ave, New York). http://4sq.com/7346bd
2010-06-21 19:26:17,40.781126,-73.967128,I'm at Central Park - Great Lawn (Central Park, New York) w/ 2 others. http://4sq.com/8SaZwH
2010-06-21 19:35:33,40.784537,-73.973634,I'm at Fres'Co tortillas Grill (100 w. 83rd street, New York). http://4sq.com/7DNRUL
2010-06-22 09:21:40,40.772449,-73.971548,I'm at Central Park - The Mall (Mall, Mid-Park from 66th to 72nd, New York). http://4sq.com/8XMmwQ
2010-06-22 15:30:06,40.753895,-73.977921,I'm at Starbucks (335 Madison Ave, New York). http://4sq.com/6Hg4lX
2010-06-22 18:36:09,40.771117,-73.969016,I'm at Central Park - East Green (72nd Street, 5th Ave, New York). http://4sq.com/7346bd
2010-06-22 18:46:16,40.773684,-73.966570,I'm at Central Park - Conservatory Water (5th Ave., 70th St., New York). http://4sq.com/dhcCjQ
2010-06-22 19:32:35,40.795879,-73.971489,I'm at Duane Reade (2589 Broadway, at 97th St, New York). http://4sq.com/4zbM5N
